Country/Territory of Seizure,Year,Quantity Seized,,,,,
Cuba,2018,48.68,,,,,
Cuba,2019,4.367,,,,,
Cyprus,2011,1.7349999999999999,,,,,
Cyprus,2012,0.974,,,,,
Cyprus,2013,0.1378,,,,,
Cyprus,2014,14.207,,,,,
Cyprus,2015,1.39994,,,,,
Cyprus,2016,163.427,,,,,
Cyprus,2017,761.56261,,,,,
Cyprus,2018,397.995,,,,,
Cyprus,2019,17.275,,,,,
Cyprus,2020,2.893,,,,,
Cyprus,2021,1.897,,,,,
Cyprus,2022,21.93077,,,,,
Cyprus,2023,8.629999999999999,,,,,
Cyprus,2024,8.318,,,,,
Czech Republic,2011,2.665,,,,,
Czech Republic,2012,7.2309,,,,,
Czech Republic,2013,6.05,,,,,
Czech Republic,2016,1.413,,,,,
Czechia,2011,2.665,,,,,
Czechia,2012,7.2309,,,,,
Czechia,2016,1.8479999999999999,,,,,
Czechia,2017,18.8934,,,,,
Czechia,2018,5.51631,,,,,
Czechia,2019,1.9398799999999998,,,,,
Czechia,2020,0.22095,,,,,
Czechia,2021,2.154,,,,,
Czechia,2022,841.600584,,,,,
Czechia,2023,660.7652117,,,,,
Denmark,2011,10.139,,,,,
Denmark,2012,10.44059,,,,,
Denmark,2013,101.8712,,,,,
Denmark,2014,70.51382,,,,,
Denmark,2015,953.24235,,,,,
Denmark,2016,107.30386,,,,,
Denmark,2017,30.68296,,,,,
Denmark,2019,46.83177,,,,,
Denmark,2020,106.59853,,,,,
Denmark,2021,349.23726999999997,,,,,
Denmark,2022,96.80701999999998,,,,,
Denmark,2023,72.70283999999998,,,,,
Denmark,2024,37.988319999999995,,,,,
Dominican Republic,2011,1813.93,,,,,
Dominican Republic,2014,2676.19,,,,,
Dominican Republic,2017,158.53574799999993,,,,,
Ecuador,2012,6552.93655,,,,,
Ecuador,2013,23244.08156,,,,,
Ecuador,2014,31052.10855,,,,,
Ecuador,2015,1626.63342,,,,,
Ecuador,2021,61461.40111,,,,,
El Salvador,2012,343.4347,,,,,
El Salvador,2013,216.40160000000003,,,,,
El Salvador,2014,491.4852,,,,,
El Salvador,2016,6901.90778,,,,,
El Salvador,2017,1276.2587,,,,,
El Salvador,2018,2951.3427,,,,,
El Salvador,2019,14.6505,,,,,
El Salvador,2020,1843.2465,,,,,
El Salvador,2021,2083.54625,,,,,
El Salvador,2022,1811.9712,,,,,
El Salvador,2023,1609.3708,,,,,
Estonia,2018,0.30136,,,,,
Finland,2014,5.3001000000000005,,,,,
Finland,2015,3.1574,,,,,
Finland,2016,1.4846,,,,,
Finland,2017,0.7208,,,,,
Finland,2018,0.83,,,,,
Finland,2019,0.609,,,,,
Finland,2020,0.399,,,,,
Finland,2021,0.209,,,,,
Finland,2023,0.1522,,,,,
France,2011,377.615,,,,,
France,2012,32.058,,,,,
Gambia,2022,1.2647300000000001,,,,,
Gambia,2023,0.7915399999999997,,,,,
Gambia,2024,0.252,,,,,
Germany,2011,123.555,,,,,
Germany,2012,284.61199999999997,,,,,
Germany,2014,157.852,,,,,
Germany,2016,153,,,,,
Germany,2017,1419.5,,,,,
Germany,2022,433.0148,,,,,
Germany,2023,3163.3599999999997,,,,,
Germany,2024,2187,,,,,
Ghana,2012,21.2914172,,,,,
Ghana,2013,29467.819,,,,,
Ghana,2016,1.99071,,,,,
Ghana,2017,8.09,,,,,
Ghana,2018,1.08,,,,,
Ghana,2022,0.5,,,,,
Greece,2019,324.12028,,,,,
Greece,2020,127.22067999999999,,,,,
Greece,2021,218.52667,,,,,
Greece,2022,350.3254,,,,,
Greece,2023,391.287,,,,,
Greece,2024,10252.49125,,,,,
Guatemala,2012,178,,,,,
Guatemala,2013,3465.388,,,,,
Guatemala,2014,5793.513,,,,,
Guatemala,2017,6196.978,,,,,
Guatemala,2018,6913.81675,,,,,
Guatemala,2019,2872.2309999999998,,,,,
Guatemala,2020,4214.42175,,,,,
Guatemala,2021,5352.768,,,,,
Guatemala,2022,3479.3525,,,,,
Guatemala,2023,5286.215,,,,,
Guatemala,2024,4050.786,,,,,
Guinea,2020,0.003,,,,,
Guinea,2021,8.727,,,,,
Guinea,2023,1572,,,,,
Guinea-Bissau,2012,0.399,,,,,
Guinea-Bissau,2013,6.087012,,,,,
Guinea-Bissau,2014,1.714,,,,,
Guinea-Bissau,2015,4.7780000000000005,,,,,
Guinea-Bissau,2016,3.175077,,,,,
Guinea-Bissau,2017,1.332,,,,,
Guinea-Bissau,2018,3.151118,,,,,
Guinea-Bissau,2019,2.773014,,,,,
Guinea-Bissau,2020,0.631166,,,,,
Guinea-Bissau,2021,0.685,,,,,
Guinea-Bissau,2022,86,,,,,
Guinea-Bissau,2023,63.644472,,,,,
Guinea-Bissau,2024,2665.959,,,,,
Honduras,2020,570,,,,,
Honduras,2021,5987,,,,,
Honduras,2022,3396.54648,,,,,
Honduras,2023,1533.055328,,,,,
Honduras,2024,2854.05,,,,,
Hungary,2011,1.758,,,,,
Hungary,2012,5.5962000000000005,,,,,
Hungary,2013,4.44438,,,,,
Hungary,2019,10.011444000000001,,,,,
Hungary,2020,2.45,,,,,
Iceland,2012,1.9389999999999998,,,,,
India,2014,6.6685,,,,,
India,2015,2.7088799999999997,,,,,
India,2016,10.52743,,,,,
India,2017,27.778999999999996,,,,,
India,2018,4.492,,,,,
India,2019,13.786999999999999,,,,,
India,2020,1.6975,,,,,
India,2021,5.5314000000000005,,,,,
India,2022,2.571,,,,,
India,2023,13.939655,,,,,
Iran (Islamic Republic of),2023,28,,,,,
Ireland,2017,1.1,,,,,
Ireland,2018,67.04,,,,,
Ireland,2019,2.203,,,,,
Ireland,2020,92.21494,,,,,
Ireland,2021,48.30315,,,,,
Ireland,2022,38.73478,,,,,
Ireland,2023,205.6064,,,,,
Ireland,2024,59.5665,,,,,
Italy,2012,4939.228,,,,,
Italy,2013,3119.407,,,,,
Italy,2014,1426,,,,,
Italy,2016,1329.853,,,,,
Italy,2017,2492.688,,,,,
Italy,2018,883.877,,,,,
Italy,2019,3312.4660000000003,,,,,
Italy,2020,4152.435,,,,,
Italy,2021,6448.996,,,,,
Italy,2022,7101.66271,,,,,
Italy,2023,5964.6225559800005,,,,,
Italy,2024,855.14471,,,,,
Japan,2020,835.3,,,,,
Jordan,2022,0.4,,,,,
Jordan,2023,0.393,,,,,
Kazakhstan,2014,2.22944,,,,,
Kazakhstan,2017,0.00054,,,,,
Kazakhstan,2019,0.01392,,,,,
Kenya,2018,5.635400000000001,,,,,
