DEPARTURE_COUNTRY,DESTINATION_COUNTRY,seizure_count,total_quantity_kg,avg_quantity_kg,primary_drug,first_year,last_year
Dominican Republic,South Africa,2,16.665,8.332,Non-specified cocaine-type,2011.0,2012.0
Dominican Republic,Spain,672,4307.245,6.41,Non-specified cocaine-type,2011.0,2016.0
Dominican Republic,Switzerland,5,8.74,1.748,Non-specified cocaine-type,2011.0,2014.0
Dominican Republic,Togo,2,3.94,1.97,Non-specified cocaine-type,2012.0,2012.0
Dominican Republic,United Kingdom,1,1.0,1.0,Non-specified cocaine-type,2011.0,2011.0
Dominican Republic,United States,1,4.8,4.8,Non-specified cocaine-type,2016.0,2016.0
Ecuador,Albania,1,0.735,0.735,Non-specified cocaine-type,2014.0,2014.0
Ecuador,Australia,1,0.018,0.018,Non-specified cocaine-type,2015.0,2015.0
Ecuador,Belgium,5,338.2,67.64,Non-specified cocaine-type,2013.0,2016.0
Ecuador,Bulgaria,2,0.42,0.21,Non-specified cocaine-type,2013.0,2014.0
Ecuador,Cuba,50,51.229,1.025,Non-specified cocaine-type,2011.0,2014.0
Ecuador,Czech Republic,1,0.798,0.798,Non-specified cocaine-type,2012.0,2012.0
Ecuador,Ecuador,3,445.109,148.37,Non-specified cocaine-type,2011.0,2013.0
Ecuador,France,1,2.93,2.93,Non-specified cocaine-type,2013.0,2013.0
Ecuador,Gambia,1,2.684,2.684,Non-specified cocaine-type,2012.0,2012.0
Ecuador,Germany,1,13.34,13.34,Non-specified cocaine-type,2014.0,2014.0
Ecuador,Guatemala,7,939.729,134.247,Non-specified cocaine-type,2014.0,2014.0
Ecuador,Hungary,1,0.629,0.629,Non-specified cocaine-type,2012.0,2012.0
Ecuador,Italy,8,306.143,38.268,Non-specified cocaine-type,2012.0,2013.0
Ecuador,Kuwait,2,349.9,174.95,Non-specified cocaine-type,2014.0,2014.0
Ecuador,Libyan Arab Jamahiriya,1,67.815,67.815,Non-specified cocaine-type,2012.0,2012.0
Ecuador,Netherlands,4,25.498,6.374,Non-specified cocaine-type,2011.0,2014.0
Ecuador,Other,1,227.59,227.59,Non-specified cocaine-type,2014.0,2014.0
