DEPARTURE_COUNTRY,DESTINATION_COUNTRY,seizure_count,total_quantity_kg,avg_quantity_kg,primary_drug,first_year,last_year
Sao Tome and Principe,Spain,2,5.937,2.968,Non-specified cocaine-type,2015.0,2016.0
Saudi Arabia,Saudi Arabia,1,891.014,891.014,Non-specified cocaine-type,2014.0,2014.0
Senegal,Spain,1,1.14,1.14,Non-specified cocaine-type,2012.0,2012.0
Senegal,United Kingdom (England and Wales),1,0.438,0.438,Non-specified cocaine-type,2014.0,2014.0
Serbia,Austria,2,0.455,0.227,Non-specified cocaine-type,2016.0,2016.0
Serbia,Romania,2,0.202,0.101,Non-specified cocaine-type,2016.0,2016.0
Serbia,Slovakia,1,3.0,3.0,Non-specified cocaine-type,2012.0,2012.0
Slovakia,Austria,2,2.82,1.41,Non-specified cocaine-type,2013.0,2015.0
Slovenia,Austria,10,4.368,0.437,Non-specified cocaine-type,2011.0,2016.0
South Africa,Nigeria,5,5.35,1.07,Non-specified cocaine-type,2012.0,2012.0
South Africa,Pakistan,1,1.22,1.22,Non-specified cocaine-type,2015.0,2015.0
South Africa,South Africa,1,2.015,2.015,Non-specified cocaine-type,2012.0,2012.0
South Africa,Spain,1,4.4,4.4,Non-specified cocaine-type,2013.0,2013.0
Spain,Andorra,1,0.02,0.02,Non-specified cocaine-type,2014.0,2014.0
Spain,Armenia,1,0.004,0.004,Non-specified cocaine-type,2016.0,2016.0
Spain,Austria,8,4.457,0.557,Non-specified cocaine-type,2011.0,2016.0
Spain,Bulgaria,7,52.235,7.462,Non-specified cocaine-type,2012.0,2016.0
Spain,Croatia,1,0.525,0.525,Non-specified cocaine-type,2014.0,2014.0
Spain,Cyprus,3,1.566,0.522,Non-specified cocaine-type,2012.0,2016.0
Spain,Czech Republic,2,0.847,0.423,Non-specified cocaine-type,2011.0,2016.0
Spain,Denmark,2,1.25,0.625,Non-specified cocaine-type,2012.0,2013.0
Spain,Finland,5,1.603,0.321,Non-specified cocaine-type,2015.0,2016.0
Spain,France,47,414.837,8.826,Non-specified cocaine-type,2011.0,2015.0
Spain,Germany,6,8.507,1.418,Non-specified cocaine-type,2012.0,2016.0
Spain,Greece,2,1.867,0.934,Non-specified cocaine-type,2014.0,2014.0
Spain,Hungary,1,0.435,0.435,Non-specified cocaine-type,2013.0,2013.0
Spain,Ireland,3,1.128,0.376,Non-specified cocaine-type,2012.0,2014.0
Spain,Italy,48,137.166,2.858,Non-specified cocaine-type,2011.0,2016.0
Spain,Lithuania,2,0.2,0.1,Non-specified cocaine-type,2014.0,2014.0
Spain,Malta,3,1.958,0.653,Non-specified cocaine-type,2012.0,2012.0
Spain,Monaco,1,5.875,5.875,Non-specified cocaine-type,2014.0,2014.0
Spain,Morocco,1,3.738,3.738,Non-specified cocaine-type,2012.0,2012.0
Spain,Netherlands,2,0.778,0.389,Non-specified cocaine-type,2011.0,2013.0
Spain,Norway,2,1.113,0.556,Non-specified cocaine-type,2011.0,2013.0
Spain,Paraguay,1,47.495,47.495,"Cocaine hydrochloride (HCl, powder cocaine)",2012.0,2012.0
Spain,Portugal,15,17.43,1.162,Non-specified cocaine-type,2011.0,2016.0
Spain,Romania,10,5.811,0.581,Non-specified cocaine-type,2011.0,2016.0
Spain,Russian Federation,4,2.588,0.647,Non-specified cocaine-type,2014.0,2015.0
Spain,Spain,275,1297.988,4.72,Non-specified cocaine-type,2011.0,2016.0
Spain,Sweden,4,1.611,0.403,Non-specified cocaine-type,2011.0,2013.0
Spain,Switzerland,11,18.692,1.699,Non-specified cocaine-type,2011.0,2016.0
Spain,Turkey,1,0.683,0.683,Non-specified cocaine-type,2013.0,2013.0
Spain,United Kingdom,8,9.199,1.15,Non-specified cocaine-type,2012.0,2015.0
Spain,United States,1,0.008,0.008,Non-specified cocaine-type,2015.0,2015.0
Suriname,Belgium,1,5.14,5.14,Non-specified cocaine-type,2013.0,2013.0
Suriname,Togo,2,3.815,1.908,Non-specified cocaine-type,2012.0,2013.0
Sweden,Sweden,3,3.44,1.147,Non-specified cocaine-type,2012.0,2012.0
Switzerland,Austria,4,0.578,0.144,Non-specified cocaine-type,2016.0,2016.0
Switzerland,Denmark,1,0.862,0.862,Non-specified cocaine-type,2012.0,2012.0
Switzerland,Spain,3,0.246,0.082,Non-specified cocaine-type,2014.0,2016.0
"Tanzania, United Republic of",Ghana,1,1.683,1.683,Non-specified cocaine-type,2013.0,2013.0
"Tanzania, United Republic of",Italy,1,0.307,0.307,Non-specified cocaine-type,2013.0,2013.0
"Tanzania, United Republic of",Zambia,3,72.57,24.19,Non-specified cocaine-type,2016.0,2016.0
Trinidad and Tobago,Barbados,5,8.1,1.62,Non-specified cocaine-type,2015.0,2015.0
Trinidad and Tobago,Canada,1,0.52,0.52,Non-specified cocaine-type,2015.0,2015.0
Trinidad and Tobago,Germany,3,7.958,2.653,Non-specified cocaine-type,2015.0,2015.0
Trinidad and Tobago,Netherlands,1,1.72,1.72,Non-specified cocaine-type,2015.0,2015.0
Trinidad and Tobago,Nigeria,1,0.98,0.98,Non-specified cocaine-type,2012.0,2012.0
Trinidad and Tobago,Portugal,1,0.795,0.795,Non-specified cocaine-type,2014.0,2014.0
Trinidad and Tobago,Spain,2,800.63,400.315,Non-specified cocaine-type,2012.0,2013.0
Trinidad and Tobago,Switzerland,1,1.92,1.92,Non-specified cocaine-type,2015.0,2015.0
Trinidad and Tobago,Trinidad and Tobago,9,27.86,3.096,Non-specified cocaine-type,2015.0,2015.0
Trinidad and Tobago,United Kingdom,5,12.54,2.508,Non-specified cocaine-type,2015.0,2015.0
Trinidad and Tobago,United States,1,4.04,4.04,Non-specified cocaine-type,2015.0,2015.0
Turkey,Spain,1,0.46,0.46,Non-specified cocaine-type,2014.0,2014.0
United Arab Emirates,Austria,8,8.132,1.016,Non-specified cocaine-type,2016.0,2016.0
United Arab Emirates,Hong Kong,1,5.424,5.424,Non-specified cocaine-type,2016.0,2016.0
United Arab Emirates,Malaysia,1,3.088,3.088,Non-specified cocaine-type,2016.0,2016.0
United Arab Emirates,Nigeria,5,10.125,2.025,Non-specified cocaine-type,2013.0,2013.0
United Arab Emirates,Philippines,1,1.17,1.17,Non-specified cocaine-type,2015.0,2015.0
United Arab Emirates,Spain,4,7.588,1.897,Non-specified cocaine-type,2015.0,2016.0
United Kingdom,Germany,1,9.984,9.984,Non-specified cocaine-type,2014.0,2014.0
United Kingdom,Latvia,2,0.001,0.0,Non-specified cocaine-type,2015.0,2015.0
United Kingdom,Spain,3,2.007,0.669,Non-specified cocaine-type,2013.0,2016.0
United Kingdom,Sweden,1,0.5,0.5,Non-specified cocaine-type,2011.0,2011.0
United States,Cuba,2,0.879,0.44,Non-specified cocaine-type,2011.0,2012.0
United States,Italy,1,0.72,0.72,Non-specified cocaine-type,2012.0,2012.0
United States,"Korea, Republic of",2,3.28,1.64,Non-specified cocaine-type,2011.0,2013.0
United States,Mali,1,219.9,219.9,Non-specified cocaine-type,2013.0,2013.0
United States,Romania,1,0.689,0.689,Non-specified cocaine-type,2013.0,2013.0
United States,Russian Federation,2,1.033,0.516,Non-specified cocaine-type,2014.0,2014.0
United States,Spain,4,81.308,20.327,Non-specified cocaine-type,2011.0,2015.0
United States,United Arab Emirates,1,104.505,104.505,Non-specified cocaine-type,2013.0,2013.0
Uruguay,Belgium,2,3.632,1.816,Non-specified cocaine-type,2011.0,2014.0
Uruguay,Czech Republic,1,2.97,2.97,Non-specified cocaine-type,2011.0,2011.0
Uruguay,Hungary,1,0.275,0.275,Non-specified cocaine-type,2012.0,2012.0
Uruguay,Netherlands,1,2.19,2.19,Non-specified cocaine-type,2011.0,2011.0
Uruguay,Portugal,1,1.698,1.698,Non-specified cocaine-type,2012.0,2012.0
Uruguay,Russian Federation,1,12.516,12.516,Non-specified cocaine-type,2014.0,2014.0
Uruguay,Spain,107,341.691,3.193,Non-specified cocaine-type,2011.0,2016.0
Uruguay,Uruguay,2,0.918,0.459,Non-specified cocaine-type,2012.0,2013.0
"Venezuela, Bolivarian Republic of",Belgium,9,48.232,5.359,Non-specified cocaine-type,2011.0,2016.0
"Venezuela, Bolivarian Republic of",Bulgaria,4,2.1,0.525,Non-specified cocaine-type,2012.0,2012.0
"Venezuela, Bolivarian Republic of",France,2,34.85,17.425,Non-specified cocaine-type,2013.0,2015.0
"Venezuela, Bolivarian Republic of",Italy,7,14.415,2.059,Non-specified cocaine-type,2012.0,2016.0
"Venezuela, Bolivarian Republic of",Netherlands,3,17.332,5.777,Non-specified cocaine-type,2011.0,2012.0
"Venezuela, Bolivarian Republic of",Nigeria,6,1600.118,266.686,Non-specified cocaine-type,2012.0,2012.0
"Venezuela, Bolivarian Republic of",Portugal,28,574.336,20.512,Non-specified cocaine-type,2011.0,2016.0
"Venezuela, Bolivarian Republic of",Romania,2,48.804,24.402,Non-specified cocaine-type,2012.0,2014.0
"Venezuela, Bolivarian Republic of",Spain,230,7371.627,32.051,Non-specified cocaine-type,2011.0,2016.0
"Venezuela, Bolivarian Republic of",Switzerland,1,1.05,1.05,Non-specified cocaine-type,2015.0,2015.0
Zambia,South Africa,1,6.0,6.0,Non-specified cocaine-type,2014.0,2014.0
