iso3_code,country,region,subregion,year,unit_of_measurement,value_total,value_drug,drug_prisoner_percentage
LCA,Saint Lucia,Americas,Latin America and the Caribbean,2023,"Rate per 100,000 population",326.3,18.96,5.81
LTU,Lithuania,Europe,Northern Europe,2023,"Rate per 100,000 population",159.45,53.99,33.86
LVA,Latvia,Europe,Northern Europe,2023,"Rate per 100,000 population",173.77,53.92,31.03
MAR,Morocco,Africa,Northern Africa,2023,"Rate per 100,000 population",272.2,16.56,6.08
MEX,Mexico,Americas,Latin America and the Caribbean,2023,"Rate per 100,000 population",179.8,35.72,19.87
MLT,Malta,Europe,Southern Europe,2023,"Rate per 100,000 population",126.09,53.29,42.26
MNE,Montenegro,Europe,Southern Europe,2023,"Rate per 100,000 population",165.1,14.21,8.6
NOR,Norway,Europe,Northern Europe,2023,"Rate per 100,000 population",62.18,10.74,17.28
PER,Peru,Americas,Latin America and the Caribbean,2023,"Rate per 100,000 population",285.35,49.79,17.45
POL,Poland,Europe,Eastern Europe,2023,"Rate per 100,000 population",192.21,5.95,3.09
PRT,Portugal,Europe,Southern Europe,2023,"Rate per 100,000 population",118.12,35.39,29.96
ROU,Romania,Europe,Eastern Europe,2023,"Rate per 100,000 population",123.7,6.6,5.33
SRB,Serbia,Europe,Southern Europe,2023,"Rate per 100,000 population",172.75,31.31,18.13
SUR,Suriname,Americas,Latin America and the Caribbean,2023,"Rate per 100,000 population",172.69,23.53,13.63
SVK,Slovakia,Europe,Eastern Europe,2023,"Rate per 100,000 population",176.22,54.17,30.74
SVN,Slovenia,Europe,Southern Europe,2023,"Rate per 100,000 population",67.88,4.77,7.02
SWE,Sweden,Europe,Northern Europe,2023,"Rate per 100,000 population",92.39,40.98,44.36
THA,Thailand,Asia,South-eastern Asia,2023,"Rate per 100,000 population",408.37,210.89,51.64
TUR,Türkiye,Asia,Western Asia,2023,"Rate per 100,000 population",334.49,252.28,75.42
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,2023,"Rate per 100,000 population",483.6,63.16,13.06
