country,year,value
Albania,2013,40.790040489102196
Albania,2014,35.540255796858574
Albania,2015,39.121903021839245
Albania,2016,13.7342420708476
Albania,2017,54.8608337639104
Albania,2018,58.9448457984176
Albania,2019,54.7658508576835
Albania,2020,45.6483713959853
Albania,2021,49.690565688138
Albania,2022,50.6435121134188
Albania,2023,54.7008790196521
Algeria,2012,38.74498136144861
Algeria,2013,45.88410816044802
Algeria,2014,45.91247544112994
Algeria,2015,45.69768924566797
Andorra,2010,4.95626099670408
Andorra,2011,10.28502371983595
Andorra,2012,7.80904287164536
Andorra,2013,30.58775027096761
Andorra,2014,33.9042814326593
Andorra,2015,20.783251470415
Antigua and Barbuda,2019,10.94528996809448
Antigua and Barbuda,2020,4.3551161727239
Antigua and Barbuda,2021,2.1656975170278
Antigua and Barbuda,2022,0.0
Antigua and Barbuda,2023,0.0
Argentina,2010,4.33290532673309
Argentina,2011,5.50194981936603
Argentina,2012,4.7554984205282
Argentina,2013,5.24159533261298
Argentina,2014,4.86239429943305
Argentina,2015,5.69496358213393
Argentina,2016,22.6034832302507
Argentina,2017,26.6071218667145
Argentina,2018,46.01512602827084
Argentina,2019,48.36407370030227
Argentina,2020,43.11385932337589
Argentina,2021,42.471928940501456
Argentina,2022,45.46124833244892
Argentina,2023,45.73283106712515
Armenia,2014,18.8884425315714
Armenia,2015,18.8964895149302
Armenia,2020,3.94341885767112
Australia,2010,29.202974015337396
Australia,2011,29.324136918630202
Australia,2012,29.825870476956574
Australia,2013,31.27007838887058
Australia,2014,34.20129104152275
Australia,2015,39.51895444137679
Australia,2016,39.527392622832934
Australia,2017,49.561202211544796
Australia,2018,26.88327695561556
Australia,2022,39.800031178217736
Australia,2023,37.54849888420616
Austria,2010,12.2174395821014
Austria,2011,12.6649089091617
Austria,2012,12.4650110933855
Austria,2013,11.3424583528687
Austria,2014,11.0905503071398
Austria,2020,43.7262964746024
Austria,2021,48.1205844972651
Austria,2022,52.9307332186243
Austria,2023,52.8452715639101
Azerbaijan,2010,56.8501693561079
Azerbaijan,2011,62.4665762763136
Azerbaijan,2012,60.0457723696765
Azerbaijan,2013,53.4488783047952
Azerbaijan,2014,56.8676308033381
Azerbaijan,2016,104.3529932021594
Azerbaijan,2017,111.751912359616
Azerbaijan,2018,101.40655907504791
Azerbaijan,2019,101.0437195087274
Azerbaijan,2020,53.2817114576796
Bahamas,2010,45.7170847194726
Bahamas,2011,47.3463194961921
Bahamas,2012,59.9249739326363
Bahamas,2020,1.01045186144179
Bahamas,2021,9.5869294830879
Bahamas,2022,46.033277280062194
Barbados,2010,84.28900228343267
Barbados,2011,86.91275046262938
Barbados,2012,96.77273753103135
Barbados,2013,86.79523886697999
Barbados,2014,84.06742638711256
Barbados,2015,71.6871572457794
Barbados,2016,102.2898988724863
