iso3_code,country,region,subregion,year,unit_of_measurement,value_total,value_drug,drug_prisoner_percentage,,,,,,
SWE,Sweden,Europe,Northern Europe,2018,"Rate per 100,000 population",60.09,24.59,40.92,,,,,,
USA,United States of America,Americas,Northern America,2018,"Rate per 100,000 population",633.65,105.27,16.61,,,,,,
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,2019,"Rate per 100,000 population",156.01,14.61,9.36,,,,,,
COL,Colombia,Americas,Latin America and the Caribbean,2019,"Rate per 100,000 population",257.95,103.78,40.23,,,,,,
ESP,Spain,Europe,Southern Europe,2019,"Rate per 100,000 population",123.36,34.89,28.29,,,,,,
FRA,France,Europe,Western Europe,2019,"Rate per 100,000 population",107.62,21,19.51,,,,,,
GRC,Greece,Europe,Southern Europe,2019,"Rate per 100,000 population",101.61,33.98,33.44,,,,,,
PER,Peru,Americas,Latin America and the Caribbean,2019,"Rate per 100,000 population",300.92,50.17,16.67,,,,,,
PRT,Portugal,Europe,Southern Europe,2019,"Rate per 100,000 population",125.17,35.88,28.66,,,,,,
SWE,Sweden,Europe,Northern Europe,2019,"Rate per 100,000 population",65.37,25.45,38.93,,,,,,
USA,United States of America,Americas,Northern America,2019,"Rate per 100,000 population",613.87,50.71,8.26,,,,,,
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,2020,"Rate per 100,000 population",146.45,15.13,10.33,,,,,,
COL,Colombia,Americas,Latin America and the Caribbean,2020,"Rate per 100,000 population",199.46,146.73,73.56,,,,,,
ESP,Spain,Europe,Southern Europe,2020,"Rate per 100,000 population",115.73,16.4,14.17,,,,,,
FRA,France,Europe,Western Europe,2020,"Rate per 100,000 population",94.9,61.77,65.09,,,,,,
GRC,Greece,Europe,Southern Europe,2020,"Rate per 100,000 population",106.35,82.14,77.23,,,,,,
PER,Peru,Americas,Latin America and the Caribbean,2020,"Rate per 100,000 population",269.42,44.79,16.63,,,,,,
PRT,Portugal,Europe,Southern Europe,2020,"Rate per 100,000 population",110.91,34.09,30.73,,,,,,
SWE,Sweden,Europe,Northern Europe,2020,"Rate per 100,000 population",70.48,28.01,39.74,,,,,,
USA,United States of America,Americas,Northern America,2020,"Rate per 100,000 population",493.23,116.69,23.66,,,,,,
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,2021,"Rate per 100,000 population",156.68,14.26,9.1,,,,,,
COL,Colombia,Americas,Latin America and the Caribbean,2021,"Rate per 100,000 population",196.57,106.03,53.94,,,,,,
ESP,Spain,Europe,Southern Europe,2021,"Rate per 100,000 population",115.42,15.73,13.63,,,,,,
FRA,France,Europe,Western Europe,2021,"Rate per 100,000 population",105.09,69.46,66.09,,,,,,
GRC,Greece,Europe,Southern Europe,2021,"Rate per 100,000 population",104.26,52.76,50.61,,,,,,
PER,Peru,Americas,Latin America and the Caribbean,2021,"Rate per 100,000 population",268.06,44.62,16.64,,,,,,
PRT,Portugal,Europe,Southern Europe,2021,"Rate per 100,000 population",112.64,33.35,29.61,,,,,,
SWE,Sweden,Europe,Northern Europe,2021,"Rate per 100,000 population",74.65,31.8,42.59,,,,,,
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,2022,"Rate per 100,000 population",205.55,26.06,12.68,,,,,,
BRA,Brazil,Americas,Latin America and the Caribbean,2022,"Rate per 100,000 population",399.26,73.16,18.32,,,,,,
COL,Colombia,Americas,Latin America and the Caribbean,2022,"Rate per 100,000 population",195.78,69.94,35.72,,,,,,
ESP,Spain,Europe,Southern Europe,2022,"Rate per 100,000 population",116.56,31.28,26.84,,,,,,
FRA,France,Europe,Western Europe,2022,"Rate per 100,000 population",108.9,71.14,65.32,,,,,,
GRC,Greece,Europe,Southern Europe,2022,"Rate per 100,000 population",101.09,46.62,46.11,,,,,,
PER,Peru,Americas,Latin America and the Caribbean,2022,"Rate per 100,000 population",273.82,48.8,17.82,,,,,,
PRT,Portugal,Europe,Southern Europe,2022,"Rate per 100,000 population",120.01,34.93,29.11,,,,,,
SWE,Sweden,Europe,Northern Europe,2022,"Rate per 100,000 population",80.23,34.29,42.74,,,,,,
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,2023,"Rate per 100,000 population",235.52,34.08,14.47,,,,,,
COL,Colombia,Americas,Latin America and the Caribbean,2023,"Rate per 100,000 population",201.08,72.82,36.22,,,,,,
ESP,Spain,Europe,Southern Europe,2023,"Rate per 100,000 population",118.34,30.77,26,,,,,,
FRA,France,Europe,Western Europe,2023,"Rate per 100,000 population",114.26,72.67,63.6,,,,,,
GRC,Greece,Europe,Southern Europe,2023,"Rate per 100,000 population",99.99,39.81,39.82,,,,,,
PER,Peru,Americas,Latin America and the Caribbean,2023,"Rate per 100,000 population",285.35,49.79,17.45,,,,,,
PRT,Portugal,Europe,Southern Europe,2023,"Rate per 100,000 population",118.12,35.39,29.96,,,,,,
SWE,Sweden,Europe,Northern Europe,2023,"Rate per 100,000 population",92.39,40.98,44.36,,,,,,
BEL,Belgium,Europe,Western Europe,2010,"Rate per 100,000 population",96,28.8,30,,,,,,
BEL,Belgium,Europe,Western Europe,2013,"Rate per 100,000 population",109,32.7,30,,,,,,
BEL,Belgium,Europe,Western Europe,2015,"Rate per 100,000 population",97,33.95,35,,,,,,
BEL,Belgium,Europe,Western Europe,2017,"Rate per 100,000 population",88,26.4,30,,,,,,
BEL,Belgium,Europe,Western Europe,2020,"Rate per 100,000 population",95,38,40,,,,,,
BEL,Belgium,Europe,Western Europe,2021,"Rate per 100,000 population",89.7,45.747,51,,,,,,
BEL,Belgium,Europe,Western Europe,2024,"Rate per 100,000 population",102,29.58,29,,,,,,
,,,,,,,,,,,,,,
